date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 214748364
2011-01-15 | 50
2011-01-16 | 0
2011-01-17 | 1000
2011-01-18 | 500
2011-01-19 | 300
2011-01-20 | 250
2011-01-21 | abc
2011-01-22 | 150
2011-01-23 | 75.5
2011-01-24 | -10
2011-01-25 | 1001
2011-01-26 | 999
2011-01-27 | 600
2011-01-28 | 700
2011-01-29 | 800
2011-01-30 | 50
2011-01-31 | 150
2011-02-01 | 200
2011-02-02 | 300
2011-02-03 | 400
2011-02-04 | 500
2011-02-05 | 600
2011-02-06 | 700
2011-02-07 | 800
2011-02-08 | 900
2011-02-09 | 100
2011-02-10 | 200
2011-02-11 | 300
2011-02-12 | 400
2011-02-13 | 500
2011-02-14 | 600
2011-02-15 | 700
2011-02-16 | 800
2011-02-17 | 900
2011-02-18 | 1000
2011-02-19 | 1100
2011-02-20 | -100
2011-02-21 | 100
2011-02-22 | 200
2011-02-23 | 300
2011-02-24 | 400
2011-02-25 | 500
2011-02-26 | 600
2011-02-27 | 700
2011-02-28 | 800
2011-03-01 | 900
2011-03-02 | 1000
2011-03-03 | 1100
2011-03-04 | -100
2011-03-05 | 100
2011-03-06 | 200
2011-03-07 | 300
2011-03-08 | 400
2011-03-09 | 500
2011-03-10 | 600
2011-03-11 | 700
2011-03-12 | 800
2011-03-13 | 900
2011-03-14 | 1000
2011-03-15 | 1100
2011-03-16 | -100
2011-03-17 | 100
2011-03-18 | 200
2011-03-19 | 300
2011-03-20 | 400
2011-03-21 | 500
2011-03-22 | 600
2011-03-23 | 700
2011-03-24 | 800
2011-03-25 | 900
2011-03-26 | 1000
